equalweight; no softsign
Casting to tensor
torch.Size([1000, 35986, 2])
torch.Size([1000, 35986])
Epoch :  16  Rel. Train L2 Loss :  0.044348687410354616  Rel. Test L2 Loss :  0.059790088295936586  L adjust: ['0.994532', '1.004975']  time :  86.67896389961243
Epoch :  17  Rel. Train L2 Loss :  0.041833687901496885  Rel. Test L2 Loss :  0.06100929498672485  L adjust: ['0.994515', '1.004986']  time :  86.66159462928772
Epoch :  18  Rel. Train L2 Loss :  0.04093265408277512  Rel. Test L2 Loss :  0.056882579922676084  L adjust: ['0.994384', '1.004932']  time :  86.76474475860596
Epoch :  19  Rel. Train L2 Loss :  0.04086844199895859  Rel. Test L2 Loss :  0.060687326192855835  L adjust: ['0.994370', '1.004749']  time :  86.60744595527649
Epoch :  20  Rel. Train L2 Loss :  0.04171806681156159  Rel. Test L2 Loss :  0.05939950692653656  L adjust: ['0.994554', '1.005156']  time :  86.67464089393616
Epoch :  21  Rel. Train L2 Loss :  0.04082424509525299  Rel. Test L2 Loss :  0.06039016234874725  L adjust: ['0.994581', '1.005208']  time :  86.65644145011902
Epoch :  22  Rel. Train L2 Loss :  0.041737001717090605  Rel. Test L2 Loss :  0.05949533665180206  L adjust: ['0.994166', '1.004980']  time :  86.72639036178589
Epoch :  23  Rel. Train L2 Loss :  0.04077110427618027  Rel. Test L2 Loss :  0.05954140627384186  L adjust: ['0.994669', '1.004400']  time :  86.66781711578369
Epoch :  24  Rel. Train L2 Loss :  0.038136747002601626  Rel. Test L2 Loss :  0.05997737002372742  L adjust: ['0.994325', '1.005320']  time :  86.74732971191406
Epoch :  25  Rel. Train L2 Loss :  0.03737380427122116  Rel. Test L2 Loss :  0.056995655298233035  L adjust: ['0.994302', '1.004976']  time :  86.7154483795166
Epoch :  26  Rel. Train L2 Loss :  0.03758827155828476  Rel. Test L2 Loss :  0.06030846834182739  L adjust: ['0.994667', '1.004946']  time :  86.7005672454834
Epoch :  27  Rel. Train L2 Loss :  0.03918029290437698  Rel. Test L2 Loss :  0.06339140963554382  L adjust: ['0.994319', '1.005047']  time :  86.71605896949768
Epoch :  28  Rel. Train L2 Loss :  0.04152537786960602  Rel. Test L2 Loss :  0.06012247490882874  L adjust: ['0.994581', '1.004726']  time :  86.6786470413208
Epoch :  29  Rel. Train L2 Loss :  0.03832591152191162  Rel. Test L2 Loss :  0.05920426249504089  L adjust: ['0.994620', '1.005054']  time :  86.69904255867004
Epoch :  30  Rel. Train L2 Loss :  0.03789605456590652  Rel. Test L2 Loss :  0.06009631562232971  L adjust: ['0.994847', '1.004649']  time :  87.45075964927673
Epoch :  31  Rel. Train L2 Loss :  0.03796978610754013  Rel. Test L2 Loss :  0.05783697557449341  L adjust: ['0.994725', '1.004502']  time :  86.82474327087402
Epoch :  32  Rel. Train L2 Loss :  0.036700829565525055  Rel. Test L2 Loss :  0.057443495869636534  L adjust: ['0.994331', '1.004980']  time :  86.57554364204407
Epoch :  33  Rel. Train L2 Loss :  0.03673625391721726  Rel. Test L2 Loss :  0.05892728579044342  L adjust: ['0.994458', '1.005275']  time :  86.70481657981873
Epoch :  34  Rel. Train L2 Loss :  0.035225081026554105  Rel. Test L2 Loss :  0.05664474308490753  L adjust: ['0.994378', '1.004729']  time :  86.66064977645874
Epoch :  35  Rel. Train L2 Loss :  0.0345602086186409  Rel. Test L2 Loss :  0.05596783435344696  L adjust: ['0.994344', '1.005090']  time :  86.6564769744873
Epoch :  36  Rel. Train L2 Loss :  0.03670578372478485  Rel. Test L2 Loss :  0.05672252118587494  L adjust: ['0.994182', '1.004970']  time :  86.59697246551514
Epoch :  37  Rel. Train L2 Loss :  0.03641581922769546  Rel. Test L2 Loss :  0.05869170784950256  L adjust: ['0.994818', '1.005582']  time :  86.73117136955261
Epoch :  38  Rel. Train L2 Loss :  0.03563413465023041  Rel. Test L2 Loss :  0.05848555588722229  L adjust: ['0.994299', '1.004824']  time :  86.52188777923584
Epoch :  39  Rel. Train L2 Loss :  0.036764272034168245  Rel. Test L2 Loss :  0.06050470685958862  L adjust: ['0.994431', '1.004720']  time :  86.65745043754578
Epoch :  40  Rel. Train L2 Loss :  0.03694392734766006  Rel. Test L2 Loss :  0.058861130595207214  L adjust: ['0.994472', '1.005428']  time :  86.6172091960907
Epoch :  41  Rel. Train L2 Loss :  0.03586915397644043  Rel. Test L2 Loss :  0.060408480763435364  L adjust: ['0.994275', '1.005029']  time :  86.69772148132324
Epoch :  42  Rel. Train L2 Loss :  0.0358593385219574  Rel. Test L2 Loss :  0.06011680579185486  L adjust: ['0.994493', '1.005543']  time :  86.58644700050354
Epoch :  43  Rel. Train L2 Loss :  0.0375608184337616  Rel. Test L2 Loss :  0.05934107482433319  L adjust: ['0.994590', '1.005099']  time :  86.67868089675903
Epoch :  44  Rel. Train L2 Loss :  0.03704841411113739  Rel. Test L2 Loss :  0.06065135169029236  L adjust: ['0.994385', '1.004569']  time :  86.5656065940857
Epoch :  45  Rel. Train L2 Loss :  0.035060572147369386  Rel. Test L2 Loss :  0.059361047267913816  L adjust: ['0.994303', '1.005404']  time :  86.79230833053589
Epoch :  46  Rel. Train L2 Loss :  0.03539665579795837  Rel. Test L2 Loss :  0.05831754684448242  L adjust: ['0.994581', '1.004614']  time :  86.59865069389343
Epoch :  47  Rel. Train L2 Loss :  0.03546006041765213  Rel. Test L2 Loss :  0.05848502779006958  L adjust: ['0.994372', '1.004987']  time :  86.65385580062866
Epoch :  48  Rel. Train L2 Loss :  0.03521949464082718  Rel. Test L2 Loss :  0.057468129992485045  L adjust: ['0.994452', '1.004221']  time :  86.60728478431702
Epoch :  49  Rel. Train L2 Loss :  0.035764431416988374  Rel. Test L2 Loss :  0.06015951561927795  L adjust: ['0.994336', '1.005183']  time :  86.57227778434753
Epoch :  50  Rel. Train L2 Loss :  0.03493855935335159  Rel. Test L2 Loss :  0.05882821321487427  L adjust: ['0.994417', '1.004863']  time :  86.64248776435852
Epoch :  51  Rel. Train L2 Loss :  0.036008292973041534  Rel. Test L2 Loss :  0.05977755844593048  L adjust: ['0.994562', '1.004773']  time :  86.65911626815796
Epoch :  52  Rel. Train L2 Loss :  0.03409990096092224  Rel. Test L2 Loss :  0.05789911365509033  L adjust: ['0.994345', '1.004839']  time :  86.62939810752869
Epoch :  53  Rel. Train L2 Loss :  0.03527781373262406  Rel. Test L2 Loss :  0.05959728157520294  L adjust: ['0.994368', '1.004878']  time :  86.6672990322113
Epoch :  54  Rel. Train L2 Loss :  0.03520641112327576  Rel. Test L2 Loss :  0.05762215518951416  L adjust: ['0.994432', '1.004976']  time :  86.62556219100952
Epoch :  55  Rel. Train L2 Loss :  0.034462295591831206  Rel. Test L2 Loss :  0.05914252007007599  L adjust: ['0.994311', '1.005020']  time :  86.78009724617004
Epoch :  56  Rel. Train L2 Loss :  0.03491199886798858  Rel. Test L2 Loss :  0.05947628259658813  L adjust: ['0.994464', '1.005362']  time :  86.67259407043457
Epoch :  57  Rel. Train L2 Loss :  0.03517875874042511  Rel. Test L2 Loss :  0.05810354137420654  L adjust: ['0.994390', '1.005007']  time :  86.69440746307373
Epoch :  58  Rel. Train L2 Loss :  0.03335045444965363  Rel. Test L2 Loss :  0.058513530492782594  L adjust: ['0.994333', '1.005350']  time :  86.62443614006042
Epoch :  59  Rel. Train L2 Loss :  0.036747228622436526  Rel. Test L2 Loss :  0.05813158404827118  L adjust: ['0.994109', '1.004468']  time :  86.72507548332214
Epoch :  60  Rel. Train L2 Loss :  0.033812699913978575  Rel. Test L2 Loss :  0.06067555618286133  L adjust: ['0.994377', '1.004769']  time :  86.69210267066956
Epoch :  61  Rel. Train L2 Loss :  0.03586190557479858  Rel. Test L2 Loss :  0.06117614352703094  L adjust: ['0.994405', '1.004939']  time :  86.57856583595276
Epoch :  62  Rel. Train L2 Loss :  0.03472514569759369  Rel. Test L2 Loss :  0.05981336009502411  L adjust: ['0.994636', '1.005490']  time :  86.64548110961914
Epoch :  63  Rel. Train L2 Loss :  0.035099476337432864  Rel. Test L2 Loss :  0.059417750358581545  L adjust: ['0.994419', '1.005189']  time :  86.68666124343872
Epoch :  64  Rel. Train L2 Loss :  0.037551289200782774  Rel. Test L2 Loss :  0.06271735978126526  L adjust: ['0.994570', '1.004607']  time :  86.6563651561737
Epoch :  65  Rel. Train L2 Loss :  0.035256244599819186  Rel. Test L2 Loss :  0.05920979690551758  L adjust: ['0.994401', '1.005068']  time :  86.5676519870758
Epoch :  66  Rel. Train L2 Loss :  0.03335109007358551  Rel. Test L2 Loss :  0.05866961526870727  L adjust: ['0.994521', '1.004537']  time :  86.68612432479858
Epoch :  67  Rel. Train L2 Loss :  0.03568212676048279  Rel. Test L2 Loss :  0.059800201296806334  L adjust: ['0.994487', '1.005140']  time :  86.6432797908783
Epoch :  68  Rel. Train L2 Loss :  0.03390543431043625  Rel. Test L2 Loss :  0.0602453351020813  L adjust: ['0.994554', '1.004692']  time :  86.76392936706543
Epoch :  69  Rel. Train L2 Loss :  0.03416796344518661  Rel. Test L2 Loss :  0.06024810552597046  L adjust: ['0.994540', '1.004695']  time :  86.66558265686035
Epoch :  70  Rel. Train L2 Loss :  0.03585615164041519  Rel. Test L2 Loss :  0.06660243272781372  L adjust: ['0.994439', '1.005335']  time :  86.68681502342224
Epoch :  71  Rel. Train L2 Loss :  0.03532982349395752  Rel. Test L2 Loss :  0.05857979679107666  L adjust: ['0.994472', '1.004168']  time :  86.64735770225525
Epoch :  72  Rel. Train L2 Loss :  0.03458044683933258  Rel. Test L2 Loss :  0.06158362877368927  L adjust: ['0.994272', '1.004532']  time :  86.60654091835022
Epoch :  73  Rel. Train L2 Loss :  0.03358435672521591  Rel. Test L2 Loss :  0.058674815773963926  L adjust: ['0.994576', '1.004822']  time :  86.71454811096191
Epoch :  74  Rel. Train L2 Loss :  0.033377859890460965  Rel. Test L2 Loss :  0.05877037465572357  L adjust: ['0.994345', '1.004633']  time :  86.68335628509521
Epoch :  75  Rel. Train L2 Loss :  0.033965162873268125  Rel. Test L2 Loss :  0.06026250183582306  L adjust: ['0.994513', '1.005257']  time :  86.70587229728699
Epoch :  76  Rel. Train L2 Loss :  0.03314101451635361  Rel. Test L2 Loss :  0.05982522249221802  L adjust: ['0.994529', '1.005138']  time :  86.62924695014954
Epoch :  77  Rel. Train L2 Loss :  0.035724792957305906  Rel. Test L2 Loss :  0.06208797633647919  L adjust: ['0.994239', '1.005234']  time :  86.55180835723877
Epoch :  78  Rel. Train L2 Loss :  0.03513591742515564  Rel. Test L2 Loss :  0.06223836088180542  L adjust: ['0.994292', '1.004737']  time :  86.62967300415039
Epoch :  79  Rel. Train L2 Loss :  0.03424524009227753  Rel. Test L2 Loss :  0.06079014921188355  L adjust: ['0.994428', '1.004198']  time :  86.76888036727905
Epoch :  80  Rel. Train L2 Loss :  0.033598349452018735  Rel. Test L2 Loss :  0.06020405626296997  L adjust: ['0.994461', '1.004434']  time :  86.72194194793701
Epoch :  81  Rel. Train L2 Loss :  0.034501681506633755  Rel. Test L2 Loss :  0.06586562895774842  L adjust: ['0.994653', '1.004434']  time :  86.65498113632202
Epoch :  82  Rel. Train L2 Loss :  0.034919058322906496  Rel. Test L2 Loss :  0.0600849426984787  L adjust: ['0.994097', '1.004892']  time :  86.67973852157593
Epoch :  83  Rel. Train L2 Loss :  0.03408468067646027  Rel. Test L2 Loss :  0.06059648418426514  L adjust: ['0.994200', '1.005019']  time :  86.66359114646912
Epoch :  84  Rel. Train L2 Loss :  0.034652240574359894  Rel. Test L2 Loss :  0.0627903687953949  L adjust: ['0.994812', '1.005014']  time :  86.76625442504883
Epoch :  85  Rel. Train L2 Loss :  0.03407774060964584  Rel. Test L2 Loss :  0.058802581429481506  L adjust: ['0.994638', '1.004837']  time :  86.77502202987671
Epoch :  86  Rel. Train L2 Loss :  0.032934042036533356  Rel. Test L2 Loss :  0.06287032210826873  L adjust: ['0.994193', '1.005003']  time :  86.72889566421509
Epoch :  87  Rel. Train L2 Loss :  0.03370453983545303  Rel. Test L2 Loss :  0.06246537733078003  L adjust: ['0.993901', '1.005353']  time :  86.63799524307251
Epoch :  88  Rel. Train L2 Loss :  0.03529018598794937  Rel. Test L2 Loss :  0.06351980233192443  L adjust: ['0.994182', '1.005057']  time :  86.72144365310669
Epoch :  89  Rel. Train L2 Loss :  0.034125084161758426  Rel. Test L2 Loss :  0.059145651698112485  L adjust: ['0.994340', '1.004721']  time :  86.70302486419678
Epoch :  90  Rel. Train L2 Loss :  0.03338774710893631  Rel. Test L2 Loss :  0.06046694016456604  L adjust: ['0.994489', '1.004547']  time :  86.68272137641907
Epoch :  91  Rel. Train L2 Loss :  0.031281164109706876  Rel. Test L2 Loss :  0.060107276678085325  L adjust: ['0.994669', '1.005153']  time :  86.72449135780334
Epoch :  92  Rel. Train L2 Loss :  0.032716514468193056  Rel. Test L2 Loss :  0.06278778862953185  L adjust: ['0.994369', '1.005162']  time :  86.74561095237732
Epoch :  93  Rel. Train L2 Loss :  0.03419840914011001  Rel. Test L2 Loss :  0.0609894106388092  L adjust: ['0.994421', '1.004874']  time :  86.7352979183197
Epoch :  94  Rel. Train L2 Loss :  0.03206634205579758  Rel. Test L2 Loss :  0.05978220760822296  L adjust: ['0.994251', '1.004533']  time :  86.67094206809998
Epoch :  95  Rel. Train L2 Loss :  0.0342544681429863  Rel. Test L2 Loss :  0.0621362156867981  L adjust: ['0.994692', '1.004928']  time :  86.71190810203552
Epoch :  96  Rel. Train L2 Loss :  0.03396848493814469  Rel. Test L2 Loss :  0.06092507660388947  L adjust: ['0.994616', '1.004315']  time :  86.72165703773499
Epoch :  97  Rel. Train L2 Loss :  0.03114486080408096  Rel. Test L2 Loss :  0.059931530833244324  L adjust: ['0.994526', '1.004834']  time :  86.64658999443054
Epoch :  98  Rel. Train L2 Loss :  0.030652708292007447  Rel. Test L2 Loss :  0.059805245637893675  L adjust: ['0.994460', '1.004795']  time :  86.70090913772583
Epoch :  99  Rel. Train L2 Loss :  0.032271979808807374  Rel. Test L2 Loss :  0.06120440888404846  L adjust: ['0.994563', '1.004659']  time :  86.72525215148926
Epoch :  100  Rel. Train L2 Loss :  0.032923189222812656  Rel. Test L2 Loss :  0.06419095742702484  L adjust: ['0.994390', '1.005025']  time :  86.64560890197754
Epoch :  101  Rel. Train L2 Loss :  0.031450936436653136  Rel. Test L2 Loss :  0.059937000155448915  L adjust: ['0.994524', '1.005022']  time :  86.60688924789429
Epoch :  102  Rel. Train L2 Loss :  0.030695550322532655  Rel. Test L2 Loss :  0.058997302055358886  L adjust: ['0.994360', '1.004501']  time :  86.66640305519104
Epoch :  103  Rel. Train L2 Loss :  0.03169711536169052  Rel. Test L2 Loss :  0.060157187700271605  L adjust: ['0.994448', '1.004554']  time :  86.65134263038635
Epoch :  104  Rel. Train L2 Loss :  0.03135862588882446  Rel. Test L2 Loss :  0.06004966914653778  L adjust: ['0.994354', '1.004609']  time :  86.63586568832397
Epoch :  105  Rel. Train L2 Loss :  0.030456330120563507  Rel. Test L2 Loss :  0.06026427185535431  L adjust: ['0.994478', '1.005179']  time :  86.71367120742798
Epoch :  106  Rel. Train L2 Loss :  0.031167021989822387  Rel. Test L2 Loss :  0.06133770442008972  L adjust: ['0.994454', '1.004732']  time :  86.71257495880127
Epoch :  107  Rel. Train L2 Loss :  0.030689010739326478  Rel. Test L2 Loss :  0.06151992774009705  L adjust: ['0.994691', '1.004856']  time :  86.75319314002991
Epoch :  108  Rel. Train L2 Loss :  0.03147307139635086  Rel. Test L2 Loss :  0.05970130467414856  L adjust: ['0.994408', '1.005141']  time :  86.68968462944031
Epoch :  109  Rel. Train L2 Loss :  0.03017992550134659  Rel. Test L2 Loss :  0.059125063061714174  L adjust: ['0.994589', '1.005020']  time :  86.81796193122864
Epoch :  110  Rel. Train L2 Loss :  0.030263855636119844  Rel. Test L2 Loss :  0.06015224981307983  L adjust: ['0.994432', '1.005147']  time :  86.68772649765015
Epoch :  111  Rel. Train L2 Loss :  0.029116527795791627  Rel. Test L2 Loss :  0.060889952659606936  L adjust: ['0.994277', '1.004905']  time :  86.73209166526794
Epoch :  112  Rel. Train L2 Loss :  0.0300847829580307  Rel. Test L2 Loss :  0.06163806962966919  L adjust: ['0.994439', '1.004788']  time :  86.7412850856781
Epoch :  113  Rel. Train L2 Loss :  0.02993677395582199  Rel. Test L2 Loss :  0.0591638503074646  L adjust: ['0.994226', '1.004715']  time :  86.77638411521912
Epoch :  114  Rel. Train L2 Loss :  0.0294017773270607  Rel. Test L2 Loss :  0.06314482569694518  L adjust: ['0.994121', '1.004384']  time :  86.75917196273804
Epoch :  115  Rel. Train L2 Loss :  0.03070696884393692  Rel. Test L2 Loss :  0.06097050905227661  L adjust: ['0.994675', '1.004861']  time :  86.71183156967163
Epoch :  116  Rel. Train L2 Loss :  0.03137574100494385  Rel. Test L2 Loss :  0.06021812999248505  L adjust: ['0.994467', '1.004767']  time :  86.73811769485474
Epoch :  117  Rel. Train L2 Loss :  0.030954354524612426  Rel. Test L2 Loss :  0.06160063660144806  L adjust: ['0.994451', '1.005268']  time :  86.68263578414917
Epoch :  118  Rel. Train L2 Loss :  0.030569258272647858  Rel. Test L2 Loss :  0.06111057496070862  L adjust: ['0.994547', '1.004709']  time :  86.7562255859375
Epoch :  119  Rel. Train L2 Loss :  0.029916792988777162  Rel. Test L2 Loss :  0.059167449831962586  L adjust: ['0.994384', '1.004477']  time :  86.69346117973328
Epoch :  120  Rel. Train L2 Loss :  0.03046306997537613  Rel. Test L2 Loss :  0.061984151363372805  L adjust: ['0.994259', '1.004901']  time :  86.6948926448822
Epoch :  121  Rel. Train L2 Loss :  0.02993174648284912  Rel. Test L2 Loss :  0.06009872508049011  L adjust: ['0.994629', '1.004917']  time :  86.68684411048889
Epoch :  122  Rel. Train L2 Loss :  0.029428306311368942  Rel. Test L2 Loss :  0.05992857110500336  L adjust: ['0.994376', '1.005175']  time :  86.6490249633789
Epoch :  123  Rel. Train L2 Loss :  0.029467239886522292  Rel. Test L2 Loss :  0.059450594186782835  L adjust: ['0.994643', '1.005185']  time :  86.66951513290405
Epoch :  124  Rel. Train L2 Loss :  0.028128830552101136  Rel. Test L2 Loss :  0.060554370880126954  L adjust: ['0.994459', '1.005043']  time :  86.67587685585022
Epoch :  125  Rel. Train L2 Loss :  0.029702726781368257  Rel. Test L2 Loss :  0.061363879203796386  L adjust: ['0.994453', '1.004594']  time :  86.59718680381775
Epoch :  126  Rel. Train L2 Loss :  0.028304135024547577  Rel. Test L2 Loss :  0.061465952038764954  L adjust: ['0.994491', '1.004460']  time :  86.75509834289551
Epoch :  127  Rel. Train L2 Loss :  0.02998439770936966  Rel. Test L2 Loss :  0.06033892214298248  L adjust: ['0.994553', '1.004843']  time :  86.6815836429596
Epoch :  128  Rel. Train L2 Loss :  0.027901211857795715  Rel. Test L2 Loss :  0.060141538977622984  L adjust: ['0.994192', '1.004646']  time :  86.68062496185303
Epoch :  129  Rel. Train L2 Loss :  0.02947159594297409  Rel. Test L2 Loss :  0.059346782088279725  L adjust: ['0.994383', '1.005013']  time :  86.66081404685974
Epoch :  130  Rel. Train L2 Loss :  0.02813346493244171  Rel. Test L2 Loss :  0.06052684092521667  L adjust: ['0.994195', '1.004919']  time :  86.68617534637451
Epoch :  131  Rel. Train L2 Loss :  0.027837645798921586  Rel. Test L2 Loss :  0.05993084669113159  L adjust: ['0.994341', '1.004851']  time :  86.7084288597107
Epoch :  132  Rel. Train L2 Loss :  0.028039162665605546  Rel. Test L2 Loss :  0.05937042140960693  L adjust: ['0.994255', '1.004930']  time :  86.64802289009094
Epoch :  133  Rel. Train L2 Loss :  0.02728219410777092  Rel. Test L2 Loss :  0.05948637664318085  L adjust: ['0.994448', '1.004912']  time :  86.71086883544922
Epoch :  134  Rel. Train L2 Loss :  0.027459445029497147  Rel. Test L2 Loss :  0.06056780576705933  L adjust: ['0.994455', '1.004981']  time :  86.69203519821167
Epoch :  135  Rel. Train L2 Loss :  0.028764548480510712  Rel. Test L2 Loss :  0.06019615972042084  L adjust: ['0.994266', '1.005362']  time :  86.698566198349
Epoch :  136  Rel. Train L2 Loss :  0.027107432514429094  Rel. Test L2 Loss :  0.06125514256954193  L adjust: ['0.994552', '1.004682']  time :  86.60606360435486
Epoch :  137  Rel. Train L2 Loss :  0.027197681695222856  Rel. Test L2 Loss :  0.060128584265708926  L adjust: ['0.994197', '1.004953']  time :  86.6446259021759
Epoch :  138  Rel. Train L2 Loss :  0.029050914615392685  Rel. Test L2 Loss :  0.06143197023868561  L adjust: ['0.994268', '1.004779']  time :  86.61949181556702
Epoch :  139  Rel. Train L2 Loss :  0.028245038300752638  Rel. Test L2 Loss :  0.06018145549297333  L adjust: ['0.994367', '1.004395']  time :  86.62544369697571
Epoch :  140  Rel. Train L2 Loss :  0.028170657634735106  Rel. Test L2 Loss :  0.06061066293716431  L adjust: ['0.994212', '1.005168']  time :  86.64605855941772
Epoch :  141  Rel. Train L2 Loss :  0.027243111670017243  Rel. Test L2 Loss :  0.06099689054489136  L adjust: ['0.994467', '1.004999']  time :  86.63192820549011
Epoch :  142  Rel. Train L2 Loss :  0.026612585812807083  Rel. Test L2 Loss :  0.060190272092819214  L adjust: ['0.994152', '1.004755']  time :  86.7294397354126
Epoch :  143  Rel. Train L2 Loss :  0.027847203969955443  Rel. Test L2 Loss :  0.059988038182258605  L adjust: ['0.993992', '1.004814']  time :  86.62241721153259
Epoch :  144  Rel. Train L2 Loss :  0.02712611907720566  Rel. Test L2 Loss :  0.061178277373313904  L adjust: ['0.994381', '1.004736']  time :  86.70148205757141
Epoch :  145  Rel. Train L2 Loss :  0.02696302932500839  Rel. Test L2 Loss :  0.060386780858039855  L adjust: ['0.994378', '1.004925']  time :  86.60625958442688
Epoch :  146  Rel. Train L2 Loss :  0.028922814816236497  Rel. Test L2 Loss :  0.06375805139541627  L adjust: ['0.994528', '1.004792']  time :  86.58369612693787
Epoch :  147  Rel. Train L2 Loss :  0.026829036980867384  Rel. Test L2 Loss :  0.059510430574417114  L adjust: ['0.994477', '1.004282']  time :  86.6009566783905
Epoch :  148  Rel. Train L2 Loss :  0.02675264221429825  Rel. Test L2 Loss :  0.061661060094833374  L adjust: ['0.994723', '1.004319']  time :  86.64792037010193
Epoch :  149  Rel. Train L2 Loss :  0.02649770301580429  Rel. Test L2 Loss :  0.06169342756271362  L adjust: ['0.994436', '1.004809']  time :  86.69359397888184
Epoch :  150  Rel. Train L2 Loss :  0.02639565545320511  Rel. Test L2 Loss :  0.061585336804389955  L adjust: ['0.994400', '1.005133']  time :  86.56285047531128
Epoch :  151  Rel. Train L2 Loss :  0.025834772258996965  Rel. Test L2 Loss :  0.05942039465904236  L adjust: ['0.994409', '1.004724']  time :  86.50305199623108
Epoch :  152  Rel. Train L2 Loss :  0.025037805914878846  Rel. Test L2 Loss :  0.0617302018404007  L adjust: ['0.994553', '1.004895']  time :  86.61544561386108
Epoch :  153  Rel. Train L2 Loss :  0.027054270505905153  Rel. Test L2 Loss :  0.06105022919178009  L adjust: ['0.994487', '1.004783']  time :  86.63113784790039
Epoch :  154  Rel. Train L2 Loss :  0.025694914400577546  Rel. Test L2 Loss :  0.06109608507156372  L adjust: ['0.994253', '1.004927']  time :  86.6812310218811
Epoch :  155  Rel. Train L2 Loss :  0.02784187763929367  Rel. Test L2 Loss :  0.06134976387023926  L adjust: ['0.994637', '1.004418']  time :  86.5089156627655
Epoch :  156  Rel. Train L2 Loss :  0.02571631646156311  Rel. Test L2 Loss :  0.06103196740150452  L adjust: ['0.994540', '1.004721']  time :  86.71494770050049
Epoch :  157  Rel. Train L2 Loss :  0.02608610200881958  Rel. Test L2 Loss :  0.060067742824554446  L adjust: ['0.994099', '1.004825']  time :  86.81214261054993
Epoch :  158  Rel. Train L2 Loss :  0.026019784182310105  Rel. Test L2 Loss :  0.06035181748867035  L adjust: ['0.994565', '1.004296']  time :  86.33262825012207
Epoch :  159  Rel. Train L2 Loss :  0.025879032969474792  Rel. Test L2 Loss :  0.06212687563896179  L adjust: ['0.994165', '1.005019']  time :  86.95735287666321
Epoch :  160  Rel. Train L2 Loss :  0.02590046685934067  Rel. Test L2 Loss :  0.06019088089466095  L adjust: ['0.994357', '1.004721']  time :  86.55839347839355
Epoch :  161  Rel. Train L2 Loss :  0.02556048905849457  Rel. Test L2 Loss :  0.06285424160957337  L adjust: ['0.994422', '1.005172']  time :  86.74858784675598
Epoch :  162  Rel. Train L2 Loss :  0.026010617733001708  Rel. Test L2 Loss :  0.06098930394649506  L adjust: ['0.994458', '1.004625']  time :  86.96742868423462
Epoch :  163  Rel. Train L2 Loss :  0.02492553374171257  Rel. Test L2 Loss :  0.061582398414611814  L adjust: ['0.994415', '1.004712']  time :  86.47655701637268
Epoch :  164  Rel. Train L2 Loss :  0.02485419410467148  Rel. Test L2 Loss :  0.061575624942779544  L adjust: ['0.994277', '1.005484']  time :  86.79298233985901
